sku_id,process_id
6647119,1
1499914,2
3094235,3
4698379,1
7350753,1
2322047,6
3341057,5
5918715,2
8078673,3
2714803,3
2166941,5
7350753,2
3094235,6
1728977,3
8090293,2
8536477,6
4335942,6
2166941,3
5855124,5
8090293,4
4698379,3
8536477,1
2571945,6
2166941,4
4226067,3
3678638,1
2622631,1
8090293,3
2694522,2
2458591,6
5108603,3
2622631,2
5918715,6
3094235,4
1533224,5
8707870,4
4335942,5
5437923,1
2571945,1
5661907,6
2458591,2
4698379,5
3608513,1
1109031,3
4903402,5
7374122,5
8707870,2
5855124,4
3678638,2
5918715,1
5108603,1
9996414,2
3678638,6
2166941,2
