definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,2.4,1.1,2.53
2,1,2,11,3.87,1.52,3.4
3,3,3,42,6.53,2.77,4.98
4,5,1,30,9.08,1.37,5.67
5,3,4,44,6.85,1.37,4.3
6,1,3,18,6.41,1.62,3.48
7,2,1,14,12.44,2.28,6.42
8,4,6,17,3.58,1.12,4.7
9,2,2,28,5.48,1.45,3.73
10,4,5,32,6.9,1.21,7.99
11,1,1,44,11.98,1.36,4.14
12,5,4,34,2.25,1.5,2.84
13,5,3,44,10.89,2.08,3.06
14,3,5,11,11.67,1.66,5.4
15,1,4,33,6.4,1.08,5.03
16,5,2,41,5.65,1.01,4.55
17,5,5,50,5.59,1.24,4.87
18,1,5,24,9.67,1.28,5.98
19,2,3,6,4.91,2.66,8.13
20,4,6,9,5.26,1.17,4.92
21,4,2,39,5.79,1.17,2.08
22,2,4,46,6.29,1.41,4.55
23,4,3,34,11.96,1.66,6.25
24,1,4,36,3.29,0.89,1.89
25,5,2,15,2.88,1.24,1.75
26,1,1,43,11.97,1.49,3.69
27,2,4,37,4.58,1.56,4.43
28,2,4,7,5.65,1.02,4.76
29,4,6,4,3.42,1.4,2.94
30,1,6,7,2.46,1.5,4.46
