definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,9.3,22.11,18.79
2,1,2,11,24.64,63.03,47.04
3,3,3,42,22.7,76.96,44.82
4,5,1,30,19.36,19.37,23.41
5,3,4,44,31.76,33.82,31.36
6,1,3,18,20.41,41.24,29.34
7,2,1,14,26.29,34.1,25.91
8,4,6,17,15.0,24.93,30.84
9,2,2,28,34.86,59.37,50.64
10,4,5,32,22.41,31.39,64.9
11,1,1,44,25.28,18.48,17.21
12,5,4,34,8.96,38.9,20.44
13,5,3,44,35.39,54.11,26.44
14,3,5,11,40.59,46.1,48.34
15,1,4,33,27.09,21.38,32.4
16,5,2,41,36.73,37.63,59.96
17,5,5,50,18.17,32.3,40.59
18,1,5,24,30.77,32.7,48.52
19,2,3,6,15.62,67.77,64.88
20,4,6,9,22.65,26.84,32.07
21,4,2,39,37.62,46.58,32.44
22,2,4,46,26.6,33.32,29.86
23,4,3,34,38.87,43.08,51.35
24,1,4,36,13.26,14.59,15.34
25,5,2,15,18.72,50.61,28.77
26,1,1,43,25.24,20.66,15.48
27,2,4,37,18.97,38.71,29.19
28,2,4,7,23.77,19.33,30.95
29,4,6,4,14.25,35.46,21.02
30,1,6,7,9.59,36.41,29.29
