definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,8.37,19.9,16.91
2,1,2,11,22.18,56.73,42.34
3,3,3,42,20.43,69.26,40.33
4,5,1,30,17.42,17.43,21.07
5,3,4,44,28.58,30.44,28.22
6,1,3,18,18.37,37.12,26.41
7,2,1,14,23.66,30.69,23.32
8,4,6,17,13.5,22.44,27.75
9,2,2,28,31.37,53.44,45.57
10,4,5,32,20.17,28.26,58.41
11,1,1,44,22.76,16.63,15.49
12,5,4,34,8.06,35.01,18.39
13,5,3,44,31.85,48.7,23.8
14,3,5,11,36.53,41.49,43.5
15,1,4,33,24.38,19.24,29.16
16,5,2,41,33.05,33.87,53.96
17,5,5,50,16.36,29.07,36.53
18,1,5,24,27.69,29.43,43.67
19,2,3,6,14.06,61.0,58.39
20,4,6,9,20.38,24.16,28.86
21,4,2,39,33.86,41.92,29.19
22,2,4,46,23.94,29.99,26.88
23,4,3,34,34.98,38.77,46.22
24,1,4,36,11.93,13.13,13.81
25,5,2,15,16.85,45.55,25.89
26,1,1,43,22.72,18.6,13.94
27,2,4,37,17.07,34.84,26.27
28,2,4,7,21.39,17.4,27.86
29,4,6,4,12.82,31.92,18.92
30,1,6,7,8.63,32.77,26.36
