definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,1.68,0.77,1.77
2,1,2,11,2.71,1.06,2.38
3,3,3,42,4.57,1.94,3.49
4,5,1,30,6.36,0.96,3.97
5,3,4,44,4.8,0.96,3.01
6,1,3,18,4.49,1.13,2.43
7,2,1,14,8.71,1.6,4.5
8,4,6,17,2.51,0.78,3.29
9,2,2,28,3.83,1.02,2.61
10,4,5,32,4.83,0.85,5.59
11,1,1,44,8.39,0.95,2.9
12,5,4,34,1.57,1.05,1.99
13,5,3,44,7.62,1.46,2.14
14,3,5,11,8.17,1.16,3.78
15,1,4,33,4.48,0.75,3.52
16,5,2,41,3.96,0.71,3.18
17,5,5,50,3.91,0.87,3.41
18,1,5,24,6.77,0.9,4.19
19,2,3,6,3.43,1.86,5.69
20,4,6,9,3.68,0.82,3.44
21,4,2,39,4.05,0.82,1.46
22,2,4,46,4.4,0.99,3.19
23,4,3,34,8.37,1.16,4.38
24,1,4,36,2.3,0.62,1.32
25,5,2,15,2.02,0.87,1.22
26,1,1,43,8.38,1.04,2.58
27,2,4,37,3.2,1.09,3.1
28,2,4,7,3.96,0.72,3.33
29,4,6,4,2.39,0.98,2.06
30,1,6,7,1.72,1.05,3.12
