parent_sku_id,child_sku_id,quantity
5437923,1109031,9
1499914,4744854,8
4335942,2622631,3
7022674,1445199,7
9996414,8038374,3
4612365,5918715,5
4903402,7374122,8
6770619,4903402,4
5855124,6770619,2
1768805,8078673,8
4226067,1768805,9
4668136,1728977,2
2166941,1728977,1
8536477,2556017,9
5661907,1445199,1
5918715,2556017,2
2322047,3608513,4
8090293,4668136,3
6647119,2719583,7
7022674,2719583,8
6647119,5918715,8
2458591,4612365,4
1445199,3678638,7
9478454,4612365,1
4744854,3608513,3
1109031,2714803,7
1419610,1768805,1
8707870,5108603,7
5437923,7067228,5
9478454,2322047,8
8707870,2322047,5
9478454,2719583,7
2867825,5108603,9
4744854,5661907,8
2166941,1768805,3
7350753,1109031,4
5108603,2719583,5
9478454,1445199,4
4744854,4668136,1
5614226,4668136,10
