plant_id,sku_id,quantity
1,9478454,494
1,4668136,690
1,2714803,294
2,3678638,360
5,8536477,145
3,9478454,546
5,1419610,101
5,5918715,632
2,4668136,925
4,5661907,651
2,1109031,803
1,8038374,836
3,4744854,859
3,2338687,854
3,3678638,301
2,2322047,472
2,2622631,541
1,5661907,171
3,7067228,780
5,6770619,438
4,1109031,738
2,2458591,779
2,4335942,968
2,2571945,227
2,8707870,837
4,4335942,407
1,5614226,619
2,2719583,416
3,9996414,782
4,4612365,518
3,1768805,512
2,5667265,813
1,4612365,402
4,9996414,667
1,2622631,230
4,2458591,296
