definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,5,3,24,0.0,0.73,0.0
2,2,5,3,0.0,0.62,0.0
3,2,6,6,0.0,0.66,0.0
4,1,2,30,0.0,0.43,0.0
5,3,6,23,0.0,0.3,0.0
6,3,2,44,0.0,0.62,0.0
7,1,6,11,0.0,0.57,0.0
8,2,5,25,0.0,0.3,0.0
9,5,3,21,0.0,0.33,0.0
10,2,1,21,0.0,0.69,0.0
11,3,4,37,0.0,0.24,0.0
12,3,6,32,0.0,0.33,0.0
13,4,4,9,0.0,0.29,0.0
14,5,2,48,0.0,0.52,0.0
15,4,5,26,0.0,0.74,0.0
16,2,3,9,0.0,0.8,0.0
17,4,5,4,0.0,0.25,0.0
18,2,1,44,0.0,0.58,0.0
19,5,4,25,0.0,0.24,0.0
20,4,5,36,0.0,0.52,0.0
21,1,1,35,0.0,0.61,0.0
22,3,3,28,0.0,0.27,0.0
23,4,2,47,0.0,0.2,0.0
24,3,6,49,0.0,0.78,0.0
25,5,2,41,0.0,0.75,0.0
26,5,3,10,0.0,0.57,0.0
27,2,3,50,0.0,0.52,0.0
28,1,5,32,0.0,0.56,0.0
29,1,1,20,0.0,0.76,0.0
30,1,2,37,0.0,0.34,0.0
