sku_id,process_id
4823498,4
2338687,3
9996414,1
2166941,1
5855124,4
6770619,5
4668136,5
1445199,1
1109031,1
4335942,5
2719583,2
7350753,5
4905582,3
8707870,2
2719583,3
4905582,1
8090293,2
7350753,2
7022674,4
5437923,5
1728977,6
4903402,3
2719583,5
5437923,6
8078673,5
9478454,1
2458591,6
2322047,5
2458591,3
1768805,6
4698379,1
6647119,2
1499914,3
3094235,1
7350753,6
3341057,2
5918715,3
8078673,3
2714803,5
2166941,2
3094235,3
1728977,2
8090293,6
8536477,6
4335942,3
2166941,5
8090293,3
8536477,1
6647119,6
2571945,4
2166941,3
4226067,1
3678638,1
