definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,2.16,0.99,2.28
2,1,2,11,3.48,1.37,3.06
3,3,3,42,5.88,2.49,4.48
4,5,1,30,8.17,1.23,5.1
5,3,4,44,6.17,1.23,3.87
6,1,3,18,5.77,1.46,3.13
7,2,1,14,11.2,2.06,5.78
8,4,6,17,3.22,1.01,4.23
9,2,2,28,4.93,1.31,3.36
10,4,5,32,6.21,1.09,7.19
11,1,1,44,10.78,1.23,3.72
12,5,4,34,2.02,1.35,2.56
13,5,3,44,9.8,1.87,2.75
14,3,5,11,10.51,1.49,4.86
15,1,4,33,5.76,0.97,4.52
16,5,2,41,5.09,0.91,4.09
17,5,5,50,5.03,1.12,4.38
18,1,5,24,8.7,1.16,5.39
19,2,3,6,4.42,2.4,7.32
20,4,6,9,4.73,1.05,4.43
21,4,2,39,5.21,1.05,1.87
22,2,4,46,5.66,1.27,4.1
23,4,3,34,10.76,1.49,5.62
24,1,4,36,2.96,0.8,1.7
25,5,2,15,2.59,1.12,1.57
26,1,1,43,10.77,1.34,3.32
27,2,4,37,4.12,1.41,3.99
28,2,4,7,5.09,0.92,4.29
29,4,6,4,3.08,1.26,2.65
30,1,6,7,2.22,1.35,4.01
