definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,7.44,17.68,15.03
2,1,2,11,19.71,50.42,37.63
3,3,3,42,18.16,61.57,35.85
4,5,1,30,15.49,15.5,18.73
5,3,4,44,25.41,27.06,25.09
6,1,3,18,16.33,33.0,23.48
7,2,1,14,21.03,27.28,20.73
8,4,6,17,12.0,19.95,24.67
9,2,2,28,27.89,47.5,40.51
10,4,5,32,17.93,25.12,51.92
11,1,1,44,20.23,14.78,13.76
12,5,4,34,7.17,31.12,16.35
13,5,3,44,28.31,43.28,21.15
14,3,5,11,32.47,36.88,38.67
15,1,4,33,21.67,17.1,25.92
16,5,2,41,29.38,30.11,47.96
17,5,5,50,14.54,25.84,32.47
18,1,5,24,24.62,26.16,38.82
19,2,3,6,12.5,54.22,51.9
20,4,6,9,18.12,21.48,25.66
21,4,2,39,30.1,37.26,25.95
22,2,4,46,21.28,26.66,23.89
23,4,3,34,31.1,34.47,41.08
24,1,4,36,10.61,11.67,12.28
25,5,2,15,14.98,40.49,23.02
26,1,1,43,20.19,16.53,12.39
27,2,4,37,15.18,30.97,23.35
28,2,4,7,19.02,15.47,24.76
29,4,6,4,11.4,28.37,16.82
30,1,6,7,7.67,29.13,23.43
