sku_id,process_id
5918715,6
2719583,2
8078673,6
4335942,1
2458591,3
2719583,5
4823498,4
5437923,5
1533224,6
8038374,2
4698379,2
9996414,2
4903402,2
2166941,4
1109031,1
7067228,6
7350753,3
4335942,4
2622631,6
7374122,6
4335942,2
5108603,3
3341057,2
7350753,6
4612365,1
8038374,4
5614226,1
2867825,4
1109031,2
2338687,2
8078673,4
4335942,3
1499914,2
4823498,2
6647119,1
5437923,6
2166941,2
4612365,4
5437923,3
2867825,3
2458591,1
4744854,3
4226067,3
6770619,5
5614226,4
8090293,6
8707870,5
1533224,1
8078673,3
5614226,2
8536477,5
8090293,3
3678638,1
4903402,5
